EventName,Driver,QualyAvg_LapTime,QualyFastest_LapTime,QualyAvgSpeedI1,QualyAvgSpeedI2
British Grand Prix,BOT,103.69085714285714,92.431,277.1,234.7
Canadian Grand Prix,BOT,90.3605,73.366,234.8,258.9
Chinese Grand Prix,BOT,106.23275,94.665,236.4,240.21428571428572
Dutch Grand Prix,BOT,84.36200000000001,72.168,251.22222222222223,250.44444444444446
Emilia Romagna Grand Prix,BOT,90.20125,76.626,202.66666666666666,209.33333333333334
Hungarian Grand Prix,BOT,91.60484615384615,76.384,245.38888888888889,222.72222222222223
Italian Grand Prix,BOT,96.462,81.101,279.1666666666667,300.5
Japanese Grand Prix,BOT,102.600875,89.593,244.33333333333334,270.3333333333333
Las Vegas Grand Prix,BOT,108.3335,94.43,147.7,182.4
Mexico City Grand Prix,BOT,87.741375,77.393,261.85714285714283,269.64285714285717
Miami Grand Prix,BOT,98.00133333333333,88.463,203.0,172.5
Monaco Grand Prix,BOT,91.61966666666666,72.512,171.0909090909091,175.1818181818182
Qatar Grand Prix,BOT,97.62907142857144,81.731,226.42105263157896,262.0
Saudi Arabian Grand Prix,BOT,103.23785714285714,89.179,260.8888888888889,288.1111111111111
Singapore Grand Prix,BOT,107.45883333333335,91.572,271.44444444444446,237.55555555555554
Spanish Grand Prix,BOT,92.96475,72.227,218.5,239.25
São Paulo Grand Prix,BOT,98.69078571428572,86.472,264.63157894736844,168.6315789473684
United States Grand Prix,BOT,107.38433333333334,94.152,198.22222222222223,168.66666666666666
Abu Dhabi Grand Prix,COL,90.71975,83.912,279.0,294.6666666666667
Azerbaijan Grand Prix,COL,114.94492307692309,102.473,186.45,201.6
Italian Grand Prix,COL,95.64750000000001,81.061,268.1666666666667,318.0
Las Vegas Grand Prix,COL,106.67045454545455,93.746,162.1875,194.3125
Mexico City Grand Prix,COL,87.72275,77.558,269.6666666666667,271.0
Qatar Grand Prix,COL,94.04771428571428,82.594,225.0,268.8888888888889
Singapore Grand Prix,COL,107.154,90.481,276.8333333333333,249.66666666666666
São Paulo Grand Prix,COL,100.81099999999999,91.27,215.5,125.25
United States Grand Prix,COL,116.37866666666666,94.062,177.5,137.0
Abu Dhabi Grand Prix,DOO,98.8495,84.105,245.16666666666666,279.6666666666667
