fecha,temp_max,temp_min,estación
2025-09-08,18.8,6.3,SAN RAFAEL AERO
2025-09-08,10.5,-0.3,SANTA CRUZ AERO
2025-09-08,21.2,5.2,SANTA ROSA AERO
2025-09-08,22.4,1.0,SANTA ROSA DE CONLARA AERO
2025-09-08,29.2,5.5,SANTIAGO DEL ESTERO AERO
2025-09-08,21.8,10.0,SAUCE VIEJO AERO
2025-09-08,21.0,8.5,SUNCHALES AERO
2025-09-08,16.2,0.3,TANDIL AERO
2025-09-08,27.0,7.6,TARTAGAL AERO
2025-09-08,26.7,6.7,TERMAS DE RIO HONDO AERO
2025-09-08,29.5,8.5,TINOGASTA
2025-09-08,18.6,6.3,TRELEW AERO
2025-09-08,19.6,4.1,TRENQUE LAUQUEN
2025-09-08,19.5,6.6,TRES ARROYOS
2025-09-08,26.8,6.0,TUCUMAN AERO
2025-09-08,7.0,0.7,USHUAIA AERO
2025-09-08,17.6,1.0,USPALLATA
2025-09-08,19.6,6.0,VENADO TUERTO AERO
2025-09-08,21.6,4.5,VICTORICA
2025-09-08,17.5,7.4,VIEDMA AERO
2025-09-08,24.6,6.8,VILLA DE MARIA DEL RIO SECO
2025-09-08,23.5,4.5,VILLA DOLORES AERO
2025-09-08,16.7,4.5,VILLA GESELL AERO
2025-09-08,21.7,7.6,VILLA REYNOLDS AERO
2025-09-07,14.7,9.8,AEROPARQUE AERO
2025-09-07,14.0,3.4,AZUL AERO
2025-09-07,18.8,2.6,BAHIA BLANCA AERO
2025-09-07,11.9,-4.4,BARILOCHE AERO
2025-09-07,14.9,-20.6,BASE BELGRANO II
2025-09-07,-3.0,-12.6,BASE CARLINI (EX JUBANY)
2025-09-07,16.5,-19.5,BASE ESPERANZA
2025-09-07,22.3,-27.5,BASE MARAMBIO
2025-09-07,12.0,-23.2,BASE ORCADAS
2025-09-07,-9.6,-11.4,BASE SAN MARTIN
2025-09-07,14.7,1.8,BENITO JUAREZ
2025-09-07,19.6,9.0,BERNARDO DE IRIGOYEN AERO
2025-09-07,15.5,2.5,BOLIVAR AERO
2025-09-07,15.9,7.0,BUENOS AIRES OBSERVATORIO
2025-09-07,16.7,0.2,CAMPO DE MAYO AERO
2025-09-07,24.5,12.4,CATAMARCA AERO
2025-09-07,19.5,3.6,CERES AERO
2025-09-07,20.0,6.0,CHAMICAL AERO
2025-09-07,11.5,-2.8,CHAPELCO AERO
2025-09-07,21.1,9.4,CHEPES
2025-09-07,,,CHILECITO AERO
2025-09-07,17.2,1.8,COMODORO RIVADAVIA AERO
2025-09-07,17.2,2.7,CONCORDIA AERO
2025-09-07,17.0,2.4,CORDOBA AERO
2025-09-07,18.0,6.9,CORDOBA OBSERVATORIO
2025-09-07,15.7,-0.5,CORONEL SUAREZ AERO
2025-09-07,16.3,6.9,CORRIENTES AERO
2025-09-07,15.2,3.4,DOLORES AERO
2025-09-07,16.4,-2.2,EL BOLSON AERO
2025-09-07,13.4,-3.6,EL CALAFATE AERO
2025-09-07,15.8,0.2,EL PALOMAR AERO
2025-09-07,,5.0,ESCUELA DE AVIACION MILITAR AERO
2025-09-07,12.9,-3.4,ESQUEL AERO
2025-09-07,15.0,4.5,EZEIZA AERO
2025-09-07,16.7,8.0,FORMOSA AERO
2025-09-07,19.0,4.6,GENERAL PICO AERO
2025-09-07,17.0,-1.5,GOBERNADOR GREGORES AERO
2025-09-07,16.0,3.2,GUALEGUAYCHU AERO
2025-09-07,20.7,10.1,IGUAZU AERO
2025-09-07,17.0,8.6,ITUZAINGO
2025-09-07,,,JACHAL
2025-09-07,20.0,6.9,JUJUY AERO
2025-09-07,18.1,5.6,JUJUY U N
2025-09-07,16.6,1.8,JUNIN AERO
2025-09-07,14.6,0.3,LA PLATA AERO
2025-09-07,15.6,7.5,LA QUIACA OBSERVATORIO
2025-09-07,21.8,7.4,LA RIOJA AERO
2025-09-07,18.0,1.2,LABOULAYE AERO
2025-09-07,15.0,5.5,LAS FLORES
2025-09-07,15.8,10.8,LAS LOMITAS
2025-09-07,16.0,-0.2,MALARGUE AERO
2025-09-07,18.1,-7.0,MAQUINCHAO
2025-09-07,14.7,-0.2,MAR DEL PLATA AERO
2025-09-07,17.5,1.3,MARCOS JUAREZ AERO
2025-09-07,,4.0,MARIANO MORENO AERO
2025-09-07,19.2,5.0,MENDOZA AERO
2025-09-07,,4.0,MENDOZA OBSERVATORIO
2025-09-07,19.0,5.0,MERCEDES AERO (CTES)
2025-09-07,,3.5,MERLO AERO
2025-09-07,16.8,5.0,METAN
2025-09-07,17.0,5.3,MONTE CASEROS AERO
2025-09-07,15.2,2.8,MORON AERO
2025-09-07,21.0,4.2,NEUQUEN AERO
2025-09-07,16.3,3.5,NUEVE DE JULIO
2025-09-07,,,OBERA
2025-09-07,14.6,-0.3,OLAVARRIA AERO
2025-09-07,22.6,10.0,ORAN AERO
2025-09-07,16.3,4.0,PARANA AERO
2025-09-07,19.0,-2.8,PASO DE INDIOS
2025-09-07,18.0,6.8,PASO DE LOS LIBRES AERO
2025-09-07,16.2,5.4,PEHUAJO AERO
2025-09-07,,-4.5,PERITO MORENO AERO
2025-09-07,14.7,1.6,PIGUE AERO
2025-09-07,17.2,3.2,PILAR OBSERVATORIO
2025-09-07,18.4,8.3,POSADAS AERO
2025-09-07,16.7,7.0,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2025-09-07,12.0,3.6,PUERTO DESEADO AERO
2025-09-07,24.2,5.9,PUERTO MADRYN AERO
2025-09-07,15.8,,PUNTA INDIO B.A.
2025-09-07,16.8,3.5,RAFAELA AERO
